iter	RMSE
0	2609.819631
1	2491.728073
2	2379.819919
3	2273.766354
4	2173.214787
5	2078.56648
6	1988.391697
7	1903.551354
8	1823.159472
9	1747.64064
10	1676.250682
11	1608.374127
12	1543.887989
13	1483.136326
14	1427.101649
15	1373.246847
16	1321.810766
17	1274.244664
18	1229.217456
19	1187.109886
20	1146.720414
21	1108.662218
22	1073.658293
23	1040.990501
24	1009.463561
25	979.6427034
26	952.2608849
27	926.9521435
28	903.2697242
29	881.3677259
30	860.8325424
31	841.0718039
32	823.5074543
33	806.5128873
34	790.1656498
35	775.4382577
36	761.4927972
37	748.6488246
38	736.4976934
39	725.4602027
40	715.043748
41	705.6462386
42	696.328702
43	688.3001304
44	680.7543471
45	673.5031375
46	666.9620519
47	660.8280693
48	654.7987468
49	649.2544493
50	643.8081841
51	638.5530786
52	634.2347894
53	630.1255982
54	625.8158279
55	621.9063309
56	618.3243874
57	614.9151834
58	611.8861173
59	609.1806634
60	606.41485
61	604.0865758
62	601.6414753
63	598.9279911
64	596.7892462
65	594.4210246
66	592.5286098
67	590.8365133
68	589.0236033
69	586.9232638
70	585.2953749
71	583.5344364
72	582.1578495
73	580.7348626
74	579.3517141
75	578.1160599
76	576.9385192
77	575.5575836
78	574.2822087
79	573.0786236
80	571.7369112
81	570.5497357
82	569.5336944
83	568.2737549
84	567.0405373
85	565.8027855
86	564.7524421
87	563.9418532
88	563.1465523
89	562.4147682
90	561.5573372
91	560.7695221
92	559.8279226
93	559.0029311
94	558.2073003
95	557.4052931
96	556.705234
97	555.9375492
98	555.0523243
99	554.3871503
100	553.6262863
101	553.0307388
102	552.3423842
103	551.5661871
104	550.8738543
105	550.1920964
106	549.6550132
107	548.8412912
108	548.1876855
109	547.6884607
110	546.8865148
111	546.4569194
112	545.6730749
113	545.0483535
114	544.6304749
115	544.0068689
116	543.3716798
117	542.7365389
118	542.1082149
119	541.5380723
120	540.965818
121	540.4106028
122	539.9328982
123	539.5694061
124	538.8768319
125	538.4203877
126	538.0047529
127	537.5738392
128	537.0104384
129	536.3752375
130	535.8811677
131	535.3267661
132	534.4835907
133	534.0514768
134	533.5162834
135	532.8611281
136	532.3417282
137	531.6814845
138	531.2353633
139	530.6658817
140	530.2202391
141	529.6896455
142	529.2043465
143	528.8232444
144	528.3830838
145	527.8827913
146	527.3961056
147	526.9288053
148	526.5550384
149	526.2128063
150	525.8498333
151	525.5045007
152	524.8624284
153	524.4961338
154	523.9916879
155	523.6692523
156	523.1715454
157	522.8463513
158	522.3859667
159	521.6434805
160	521.2826162
161	520.9936955
162	520.7520025
163	520.3941171
164	520.0246644
165	519.5645177
166	519.1540363
167	518.6723536
168	518.2814023
169	517.9082826
170	517.516491
171	517.1899524
172	516.7045211
173	516.3749533
174	515.976937
175	515.7043459
176	515.3579625
177	515.0579822
178	514.5881767
179	514.14919
180	513.6453772
181	513.3022755
182	512.8716423
183	512.2863169
184	511.9966997
185	511.5845751
186	511.2523584
187	510.9666095
188	510.6665387
189	510.3836037
190	509.8915302
191	509.5638684
192	509.0910314
193	508.7653259
194	508.4402174
195	508.1897257
196	507.7907167
197	507.5098563
198	507.1767227
199	506.9234708
200	506.6291492
201	506.1512292
202	505.7405218
203	505.3867885
204	504.9825313
205	504.5042567
206	504.2067591
207	503.6423929
208	503.3269409
209	502.9794291
210	502.6935493
211	502.3905555
212	502.1437145
213	501.9743623
214	501.6679972
215	501.3246693
216	501.06677
217	500.5562468
218	500.2589424
219	499.9428793
220	499.4861265
221	499.3091687
222	499.1216536
223	498.8856441
224	498.7022866
225	498.3052553
226	498.0662889
227	497.7344236
228	497.5028969
229	497.1927479
230	496.879214
231	496.5144763
232	496.2892153
233	495.9920208
234	495.6457353
235	495.2559311
236	494.998607
237	494.7619747
238	494.5225567
239	494.29284
240	494.0245239
241	493.7400892
242	493.3409445
243	493.1235758
244	492.9220501
245	492.4326847
246	492.180741
247	491.9165453
248	491.440889
249	491.1814307
250	490.8418446
251	490.594503
252	490.1454127
253	489.9257039
254	489.6208513
255	489.3504048
256	489.1425031
257	488.964946
258	488.7105378
259	488.4916851
260	488.1478897
261	487.9138635
262	487.5957798
263	487.360094
264	487.1877125
265	486.8997793
266	486.7254426
267	486.4698006
268	486.3033404
269	486.1204263
270	486.0150109
271	485.788922
272	485.5857636
273	485.3217757
274	485.0219144
275	484.7387138
276	484.5170987
277	484.24515
278	483.9343618
279	483.6317269
280	483.4153947
281	483.0596815
282	482.8394117
283	482.6849189
284	482.3807346
285	482.1675938
286	481.8933882
287	481.7695147
288	481.6158465
289	481.3673565
290	481.0410083
291	480.8413681
292	480.6094528
293	480.3590965
294	480.2210944
295	479.9929791
296	479.7119539
297	479.4815763
298	479.356542
299	479.1953896
300	479.0547172
301	478.8534154
302	478.7242711
303	478.5795377
304	478.3864954
305	478.1909497
306	477.8294953
307	477.6103691
308	477.3159844
309	477.1584282
310	476.9637115
311	476.7898438
312	476.5954275
313	476.4054816
314	476.0985801
315	475.8873338
316	475.6455718
317	475.391875
318	475.1120273
319	474.8868872
320	474.6686392
321	474.5022749
322	474.3136415
323	474.1508073
324	473.9869375
325	473.7737346
326	473.6083848
327	473.3533448
328	473.2125743
329	473.0659352
330	472.9094848
331	472.6739728
332	472.5106483
333	472.3054036
334	472.0298473
335	471.8607712
336	471.6040322
337	471.3508716
338	471.2164839
339	470.9807059
340	470.8595983
341	470.7575235
342	470.4899455
343	470.396699
344	470.2793561
345	470.0070893
346	469.802657
347	469.5489753
348	469.2670437
349	469.0571807
350	468.8549099
351	468.5868903
352	468.4335311
353	468.3197947
354	468.1803977
355	467.9792629
356	467.8686144
357	467.7439628
358	467.6176031
359	467.3717846
360	467.160536
361	466.9380979
362	466.795658
363	466.5857587
364	466.4245958
