iter	Passed	Remaining
0	9	9626
1	16	8067
2	22	7503
3	29	7297
4	35	7137
5	42	7032
6	50	7146
7	58	7215
8	66	7338
9	76	7571
10	87	7890
11	98	8117
12	112	8521
13	127	9013
14	140	9198
15	152	9364
16	163	9481
17	175	9570
18	187	9670
19	198	9715
20	209	9760
21	219	9749
22	228	9723
23	239	9740
24	251	9792
25	261	9796
26	272	9817
27	283	9853
28	293	9822
29	304	9835
30	315	9855
31	326	9866
32	336	9866
33	347	9879
34	359	9920
35	370	9913
36	380	9912
37	391	9900
38	402	9911
39	413	9921
40	424	9918
41	434	9913
42	445	9905
43	455	9904
44	465	9884
45	475	9871
46	485	9850
47	496	9840
48	506	9838
49	518	9844
50	529	9847
51	540	9848
52	549	9812
53	559	9804
54	569	9792
55	580	9790
56	590	9772
57	600	9748
58	610	9738
59	620	9725
60	630	9710
61	640	9693
62	651	9685
63	661	9677
64	671	9663
65	681	9642
66	691	9623
67	701	9612
68	712	9609
69	722	9600
70	732	9580
71	742	9567
72	751	9543
73	761	9529
74	771	9516
75	781	9503
76	791	9483
77	801	9473
78	811	9464
79	822	9455
80	833	9452
81	842	9436
82	852	9419
83	862	9409
84	873	9404
85	883	9390
86	894	9388
87	904	9376
88	914	9361
89	924	9349
90	934	9339
91	943	9311
92	953	9303
93	964	9298
94	974	9285
95	983	9264
96	993	9244
97	1004	9242
98	1014	9234
99	1023	9210
100	1032	9194
101	1043	9183
102	1052	9164
103	1062	9156
104	1073	9152
105	1084	9142
106	1094	9130
107	1103	9115
108	1113	9101
109	1123	9086
110	1132	9072
111	1142	9057
112	1152	9047
113	1162	9034
114	1171	9016
115	1181	9002
116	1190	8984
117	1201	8977
118	1210	8959
119	1220	8949
120	1231	8948
121	1242	8941
122	1250	8918
123	1259	8901
124	1271	8899
125	1279	8875
126	1288	8859
127	1298	8845
128	1308	8832
129	1318	8821
130	1330	8828
131	1341	8822
132	1352	8817
133	1361	8801
134	1372	8791
135	1381	8777
136	1390	8759
137	1402	8761
138	1411	8745
139	1422	8735
140	1431	8719
141	1442	8718
142	1452	8702
143	1462	8692
144	1471	8678
145	1481	8667
146	1492	8660
147	1502	8649
148	1511	8630
149	1519	8610
150	1528	8595
151	1537	8580
152	1547	8564
153	1556	8552
154	1567	8543
155	1576	8531
156	1587	8524
157	1596	8510
158	1607	8505
159	1619	8501
160	1629	8492
161	1639	8481
162	1649	8467
163	1658	8453
164	1668	8441
165	1677	8428
166	1687	8419
167	1697	8407
168	1708	8400
169	1718	8388
170	1728	8381
171	1738	8369
172	1749	8363
173	1759	8350
174	1769	8341
175	1778	8325
176	1787	8310
177	1796	8298
178	1806	8286
179	1818	8283
180	1829	8277
181	1840	8273
182	1850	8259
183	1862	8258
184	1872	8250
185	1884	8248
186	1896	8246
187	1906	8234
188	1917	8227
189	1927	8217
190	1937	8208
191	1947	8197
192	1958	8189
193	1968	8177
194	1977	8163
195	1987	8151
196	1995	8135
197	2005	8122
198	2015	8110
199	2024	8099
200	2035	8090
201	2044	8078
202	2055	8070
203	2064	8057
204	2074	8044
205	2085	8038
206	2094	8022
207	2105	8015
208	2114	8004
209	2125	7995
210	2134	7982
211	2144	7969
212	2155	7962
213	2165	7955
214	2174	7940
215	2185	7931
216	2194	7918
217	2206	7916
218	2217	7908
219	2227	7897
220	2238	7889
221	2248	7878
222	2258	7868
223	2268	7860
224	2277	7846
225	2289	7840
226	2300	7832
227	2310	7822
228	2320	7811
229	2331	7805
230	2340	7793
231	2351	7785
232	2361	7772
233	2371	7763
234	2380	7750
235	2392	7744
236	2403	7737
237	2413	7727
238	2423	7716
239	2435	7713
240	2445	7701
241	2456	7695
242	2485	7742
243	2503	7756
244	2519	7765
245	2540	7787
246	2556	7792
247	2569	7790
248	2580	7784
249	2592	7776
250	2602	7767
251	2613	7756
252	2624	7749
253	2634	7736
254	2644	7726
255	2653	7712
256	2662	7698
257	2673	7687
258	2682	7674
259	2691	7661
260	2701	7650
261	2713	7643
262	2725	7637
263	2735	7627
264	2743	7609
265	2754	7600
266	2762	7583
267	2771	7571
268	2779	7553
269	2787	7537
270	2796	7523
271	2807	7513
272	2816	7499
273	2825	7486
274	2836	7477
275	2846	7466
276	2855	7453
277	2865	7442
278	2876	7432
279	2886	7422
280	2895	7407
281	2906	7399
282	2917	7392
283	2927	7380
284	2936	7367
285	2946	7356
286	2957	7346
287	2966	7334
288	2975	7321
289	2986	7310
290	2997	7302
291	3005	7286
292	3014	7273
293	3023	7260
294	3032	7246
295	3043	7237
296	3053	7227
297	3063	7216
298	3071	7200
299	3081	7190
300	3091	7179
301	3102	7170
302	3111	7157
303	3122	7149
304	3131	7135
305	3139	7120
306	3149	7110
307	3159	7099
308	3170	7089
309	3178	7075
310	3187	7061
311	3196	7048
312	3206	7037
313	3215	7024
314	3225	7014
315	3235	7003
316	3246	6994
317	3257	6986
318	3267	6975
319	3278	6965
320	3288	6956
321	3298	6945
322	3307	6932
323	3315	6918
324	3326	6907
325	3335	6895
326	3345	6885
327	3355	6873
328	3363	6860
329	3371	6845
330	3380	6832
331	3392	6825
332	3402	6815
333	3413	6806
334	3424	6798
335	3434	6786
336	3445	6778
337	3456	6770
338	3466	6758
339	3477	6750
340	3488	6741
341	3498	6730
342	3509	6722
343	3517	6708
344	3527	6696
345	3536	6685
346	3547	6676
347	3560	6670
348	3571	6662
349	3583	6654
350	3594	6647
351	3607	6640
352	3618	6632
353	3628	6621
354	3638	6610
355	3649	6601
356	3659	6590
357	3667	6577
358	3677	6566
359	3688	6557
360	3699	6548
361	3710	6539
362	3720	6528
363	3731	6519
364	3741	6508
365	3751	6498
366	3761	6488
367	3772	6478
368	3782	6467
369	3790	6454
370	3801	6444
371	3810	6433
372	3821	6423
373	3832	6415
374	3843	6405
375	3853	6395
376	3865	6388
377	3876	6379
378	3887	6370
379	3897	6359
380	3908	6349
381	3919	6340
382	3930	6332
383	3941	6322
384	3951	6312
385	3961	6301
386	3971	6291
387	3984	6284
388	3995	6275
389	4005	6265
390	4016	6255
391	4026	6245
392	4038	6236
393	4049	6228
394	4059	6217
395	4071	6210
396	4082	6201
397	4092	6190
398	4103	6181
399	4114	6171
400	4121	6157
401	4132	6146
402	4142	6137
403	4151	6124
404	4160	6112
405	4171	6102
406	4181	6092
