Колонка,Описание (КИП),Физическая величина
T1,Температура верха К-1 (выход на FIRC0955),"температура, °C"
P2,Давление бензиновых паров верха К-1,"давление, МПа"
F3,Расход бензина на орошение К-1,"расход, т/ч"
P4,Давление низа К-1 в Е-6,"давление, МПа"
F5,Расход пара в К-1,"расход, т/ч"
T6,Температура низа К-1,"температура, °C"
F7,Расход обессоленной нефти (3-й ход) в Т-4/2,"расход, т/ч"
F8,Расход обессоленной нефти (1-й ход) в Т-6/1,"расход, т/ч"
F9,Расход обессоленной нефти (2-й ход) в Т-10/2,"расход, т/ч"
D10,Плотность нефти на подаче,"плотность, кг/м3"
T11,3-е ЦО после Т-46,"температура, °C"
F12,Расход 2-го ЦО в К-2,"расход, т/ч"
T13,1-е ЦО К-2 после Т-30,"температура, °C"
F14,Расход 1-го ЦО в К-2,"расход, т/ч"
T15,3-е ЦО К-2,"температура, °C"
F16,Расход бензина от Н-4 в Е-6,"расход, т/ч"
T17,2-е ЦО из К-2,"температура, °C"
T18,1-е ЦО из К-2,"температура, °C"
F19,Расход острого орошения К-2,"расход, т/ч"
T20,Температура верха К-2 (выход на FIRC0953),"температура, °C"
P21,Давление верха К-2 (измерительное),"давление, МПа"
P22,Давление верха К-2 (регистрирующее),"давление, МПа"
P23,"Давление верха К-2 (регулятор, ветка B)","давление, МПа"
T24,Температура перетока К-2 в К-6,"температура, °C"
F25,Расход бензина после Т-26,"расход, т/ч"
F26,Расход пара в К-6,"расход, т/ч"
F27,Расход пара в К-7,"расход, т/ч"
F28,Расход пара в К-9,"расход, т/ч"
F29,Расход пара в К-2,"расход, т/ч"
F30,Расход фр. 290-350 с установки,"расход, т/ч"
F31,Расход нефтепродукта в П-3,"расход, т/ч"
F32,Расход фр. 240-290 с установки,"расход, т/ч"
T33,Температура низа К-2,"температура, °C"
F34,Расход фр. 150-250 с установки,"расход, т/ч"
F35,Расход ВЦО в К-10,"расход, т/ч"
F36,Расход СЦО в К-10,"расход, т/ч"
T37,Температура ВЦО в К-10,"температура, °C"
T38,Температура доп. ВЦО К-10,"температура, °C"
T39,Температура в К-10 над секцией насадки 1а,"температура, °C"
T40,Температура ВЦО из К-10,"температура, °C"
F41,Расход доп. ВЦО в К-10,"расход, т/ч"
T42,Температура фр. 420-500 из К-10 в Е-12,"температура, °C"
L43,Уровень в К-10,"уровень, %"
P44,Вакуум низа К-10,"давление, МПа"
F45,Расход холодного гудрона в К-10,"расход, т/ч"
F46,Расход НЦО К-10 (фр. 350-560),"расход, т/ч"
T47,Температура фр. 350-560 после Т-40,"температура, °C"
T48,Температура низа К-10,"температура, °C"
T49,Температура верха К-10,"температура, °C"
P50,Вакуум верха К-10,"давление, МПа"
P51,Вакуум верха К-10 (пересчёт в мм рт.ст.),"давление, мм рт.ст."
P52,Перепад давления над 4-й пак. насадки К-10,"перепад, МПа"
F53,Расход НЦО К-10 (регулятор),"расход, т/ч"
F54,"Расход от Н-34/1,2 в К-10","расход, т/ч"
T55,Температура на выходе из П-3 (на FIRC2470),"температура, °C"
F56,Расход фр. до 350 с установки (реальный),"расход, т/ч"
F57,Расход фр. до 350 с установки (виртуальный),"расход, т/ч"
T58,Температура фр. до 350 от Т-37,"температура, °C"
F59,Расход фр. 420-500 с установки (объемный),"расход, м3/ч"
F60,Расход фр. 350-560 с установки,"расход, т/ч"
T61,Температура НЦО в К-10,"температура, °C"
F62,Расход НЦО К-10,"расход, т/ч"
F63,Расход гудрона на битумную установку,"расход, т/ч"
F64,Расход 3-го ЦО в К-2,"расход, т/ч"
F65,Производительность К-2 по отбензиненной нефти,"расход, т/ч"
T66,Температура перетока в К-9,"температура, °C"
P67,Давление верха К-2 (доп. точка),"давление, МПа"
F68,Расход гудрона с установки (реальный),"расход, т/ч"
F69,Расход гудрона с установки (виртуальный),"расход, т/ч"
W70,Массовый расход фр. 290-350 с установки,"масс.расход, т/ч"
T71,Температура фр. 290-350 из К-2,"температура, °C"
